
Connected to: Oracle Database 11g Enterprise Edition Release 11.1.0.6.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

Export file created by EXPORT:V10.02.01 via conventional path

Warning: the objects were exported by ADV9_TRAIN, not by you

import done in WE8MSWIN1252 character set and AL16UTF16 NCHAR character set
. . importing table                  "CASHIER_TAG"          3 rows imported
. . importing table                      "CHARITY"          0 rows imported
. . importing table                     "CHILDREN"         63 rows imported
. . importing table                   "CLUB_LEVEL"          0 rows imported
. . importing table                    "COMMITTEE"         81 rows imported
. . importing table             "COMMITTEE_HEADER"          8 rows imported
. . importing table              "COMMITTEE_OWNER"          1 rows imported
. . importing table               "COMMITTEE_ROLE"          8 rows imported
. . importing table                      "CONTACT"          9 rows imported
. . importing table               "CONTACT_PERSON"         30 rows imported
. . importing table               "CONTACT_REPORT"         39 rows imported
. . importing table    "CONTACT_REPORT_ATTACHMENT"          4 rows imported
. . importing table           "CONTACT_RPT_CREDIT"         60 rows imported
. . importing table     "CONTACT_RPT_DISTRIBUTION"         57 rows imported
. . importing table                      "CONTEXT"          1 rows imported
. . importing table             "CONTEXT_DOCUMENT"          0 rows imported
. . importing table           "CONTEXT_TYPE_GROUP"         69 rows imported
. . importing table               "CONTRACT_GRANT"          1 rows imported
. . importing table             "COVERING_ACCOUNT"         15 rows imported
. . importing table                      "DEGREES"         94 rows imported
. . importing table          "DEMOGRAPHIC_PROFILE"          9 rows imported
. . importing table                    "DIST_LIST"          0 rows imported
. . importing table             "DIST_LIST_MEMBER"          0 rows imported
. . importing table                     "DOCUMENT"          0 rows imported
. . importing table        "DOCUMENT_BATCH_DETAIL"          0 rows imported
. . importing table        "DOCUMENT_BATCH_HEADER"          1 rows imported
. . importing table             "DOCUMENT_KEYCODE"          0 rows imported
. . importing table             "DOCUMENT_KEYWORD"          0 rows imported
. . importing table           "DOCUMENT_STRUCTURE"          1 rows imported
. . importing table     "DOCUMENT_TYPE_CONVERSION"         22 rows imported
. . importing table            "DONORSCAPE_IMPORT"          0 rows imported
. . importing table           "DONORSCAPE_OPTIONS"          1 rows imported
. . importing table  "DONOR_FUNDING_PROGRAM_TOTAL"          0 rows imported
. . importing table                "DONOR_SUMMARY"        304 rows imported
. . importing table                 "DONOR_TOTALS"          0 rows imported
. . importing table                 "DUES_PAYMENT"         90 rows imported
. . importing table             "DUES_PAYMENT_ACK"          2 rows imported
. . importing table         "DUES_PAYMENT_ACK_REV"          0 rows imported
. . importing table            "DUES_PAYMENT_CLUB"         26 rows imported
. . importing table        "DUES_PAYMENT_CLUB_REV"          0 rows imported
. . importing table         "DUES_PAYMENT_CONVERT"          1 rows imported
. . importing table          "DUES_PAYMENT_ENTITY"         98 rows imported
. . importing table      "DUES_PAYMENT_ENTITY_REV"          1 rows imported
. . importing table             "DUES_PAYMENT_REV"          1 rows imported
. . importing table                "DW_DATAWINDOW"          0 rows imported
. . importing table                    "DW_OBJECT"          0 rows imported
. . importing table                  "DW_SECURITY"        467 rows imported
. . importing table             "EMAIL_FORWARDING"          0 rows imported
. . importing table                   "EMPLOYMENT"        149 rows imported
. . importing table                       "ENTITY"        542 rows imported
. . importing table        "ENTITY_RACE_ETHNICITY"        470 rows imported
. . importing table           "ENTITY_RECORD_TYPE"        566 rows imported
. . importing table "EP_AWA_AWC_PARTICIPATION_MAP"          0 rows imported
. . importing table  "EP_AWA_AWC_REGISTRATION_MAP"          0 rows imported
. . importing table              "EP_AWC_BIO_ADDR"          0 rows imported
. . importing table              "EP_AWC_BIO_NAME"          0 rows imported
. . importing table                  "EP_AWC_LOCK"          0 rows imported
. . importing table           "EP_AWC_PARTICIPANT"          0 rows imported
. . importing table         "EP_AWC_PARTICIPATION"          0 rows imported
. . importing table               "EP_AWC_PAYMENT"          0 rows imported
. . importing table          "EP_AWC_REGISTRATION"          0 rows imported
. . importing table        "EP_AWC_RSRC_REQUESTED"          0 rows imported
. . importing table             "EP_BATCH_CONTROL"          0 rows imported
. . importing table                     "EP_EVENT"         28 rows imported
. . importing table               "EP_EVENT_CODES"          0 rows imported
. . importing table         "EP_EVENT_ENTITY_PREF"          5 rows imported
. . importing table  "EP_EVENT_ENTITY_RESTRICTION"          7 rows imported
. . importing table                 "EP_EVENT_FEE"         28 rows imported
. . importing table          "EP_EVENT_INVITATION"          4 rows imported
. . importing table           "EP_EVENT_ORGANIZER"          0 rows imported
. . importing table              "EP_EVENT_RIGHTS"          0 rows imported
. . importing table                   "EP_HONOREE"          3 rows imported
. . importing table               "EP_PARTICIPANT"         35 rows imported
. . importing table        "EP_PARTICIPANT_INVITE"        552 rows imported
. . importing table             "EP_PARTICIPATION"        147 rows imported
. . importing table         "EP_PARTICIPATION_FEE"        144 rows imported
. . importing table                   "EP_PAYMENT"          6 rows imported
. . importing table            "EP_PAYMENT_CREDIT"          0 rows imported
. . importing table              "EP_PAYMENT_GIFT"          0 rows imported
. . importing table      "EP_PAYMENT_REGISTRATION"          6 rows imported
. . importing table              "EP_REGISTRATION"         25 rows imported
. . importing table                  "EP_RESOURCE"        194 rows imported
. . importing table            "EP_RSRC_ATTRIBUTE"         57 rows imported
. . importing table      "EP_RSRC_EVENT_STRUCTURE"         51 rows imported
. . importing table            "EP_RSRC_INVENTORY"          0 rows imported
. . importing table                "EP_RSRC_PRICE"          0 rows imported
. . importing table            "EP_RSRC_STRUCTURE"        180 rows imported
. . importing table                 "EP_RSRC_TYPE"         20 rows imported
. . importing table          "EP_RSRC_UTILIZATION"          0 rows imported
. . importing table            "EP_RSRC_WAIT_LIST"          0 rows imported
. . importing table                   "EP_SPONSOR"          2 rows imported
. . importing table                     "EP_STAFF"          5 rows imported
. . importing table                 "EP_ZL_COLUMN"       2248 rows imported
. . importing table        "EP_ZL_COLUMN_GROUPING"        259 rows imported
. . importing table "EP_ZL_CRITERIA_HEADER_RIGHTS"          0 rows imported
. . importing table                   "EP_ZL_FROM"        519 rows imported
. . importing table                   "EP_ZL_JOIN"        693 rows imported
. . importing table       "EP_ZL_JOIN_REPLACEMENT"       7682 rows imported
. . importing table "EP_ZL_JOIN_REPLACEMENT_SELECT"        136 rows imported
. . importing table            "EP_ZL_OUTPUT_TYPE"         72 rows imported
. . importing table     "EP_ZL_OUTPUT_TYPE_SELECT"       6223 rows imported
. . importing table             "EP_ZL_RESULT_SET"       7555 rows imported
. . importing table "EP_ZL_RESULT_SET_REPLACEMENT"        782 rows imported
. . importing table  "EP_ZL_SAVED_CRITERIA_DETAIL"         98 rows imported
. . importing table  "EP_ZL_SAVED_CRITERIA_HEADER"          4 rows imported
. . importing table                 "EP_ZL_SELECT"        221 rows imported
. . importing table     "EP_ZL_SELECT_RESTRICTION"      14538 rows imported
. . importing table           "EP_ZL_SELECT_UNION"         26 rows imported
. . importing table                  "EP_ZL_TABLE"        208 rows imported
. . importing table                   "EVALUATION"         21 rows imported
. . importing table                        "EVENT"          8 rows imported
. . importing table                   "EVENT_CODE"          2 rows imported
. . importing table            "EVENT_ENTITY_PREF"          5 rows imported
